날짜,평균 풍속,최저 기온,최고 기온,강수량,평균 가격
2010-05-29,1.5,12.7,23.5,0,3700
2010-05-30,1.8,11.5,22.9,0,3700
2010-05-31,1.7,11.6,21.5,0.1,3460
2010-06-01,1.4,9.7,23.1,0,3320
2010-06-02,1.2,11,25.5,0,3320
2010-06-03,1.3,13.5,27.6,0,3220
2010-06-04,1.3,14.8,28.7,0,3220
2010-06-05,1.2,15.3,29.6,0.5,3220
2010-06-06,1,16.1,29.7,1.6,3220
2010-06-07,1.4,16.3,28.3,0.6,3200
2010-06-08,1.3,14.9,28.1,0,3200
2010-06-09,1.2,14.8,30,0,3200
2010-06-10,1,15.8,30,0,3100
2010-06-11,1.2,16,28.6,0.8,3100
2010-06-12,0.9,17.6,23.3,11.9,3100
2010-06-13,1.2,19,27.7,2.9,3100
2010-06-14,1.5,18.8,28.1,2.8,3060
2010-06-15,1.5,19.4,28.7,2.3,3060
2010-06-16,1.6,18.6,29.3,0.2,2800
2010-06-17,0.6,19.5,30.1,0,2800
2010-06-18,1.6,20.7,27.9,1.8,2800
2010-06-19,1.4,20.2,27.1,2.3,2800
2010-06-20,1.5,20.1,28.1,4.6,2800
2010-06-21,2,18.8,28.6,0,2900
2010-06-22,1.3,17,29.3,0,2760
2010-06-23,1,17.4,28.4,0,2800
2010-06-24,0.9,16.5,29.9,0,2700
2010-06-25,1.6,18.6,29.6,0.8,2700
2010-06-26,2,20.4,25.1,11.4,2700
2010-06-27,1.1,20.6,25.5,3.9,2700
2010-06-28,1.1,20,27.9,9.2,2700
2010-06-29,0.7,20.1,29.4,0.1,2760
2010-06-30,0.9,21.3,28.1,3.7,2800
2010-07-01,1,21.8,28.8,5,2567
2010-07-02,0.9,23,26.2,17.1,2544
2010-07-03,0.8,22.8,27.9,6.1,2544
2010-07-04,0.7,22.3,27.1,1.4,2544
2010-07-05,1.7,22.1,30.1,1,2574
2010-07-06,1.3,21.3,31.6,0.4,2664
2010-07-07,1.3,20.7,29.8,1.1,2738
2010-07-08,1,20.1,28.4,0.7,2771
2010-07-09,0.8,20.4,30.2,0.8,2771
2010-07-10,0.9,20.4,29.3,4.6,2771
2010-07-11,2,20.6,24.5,57.6,2771
2010-07-12,0.9,20.1,26.7,0.6,2953
2010-07-13,1.3,20.3,27,11.3,3216
2010-07-14,1.2,20,28.7,0.1,3155
2010-07-15,1.1,20.5,29.3,0.9,3300
2010-07-16,0.8,22,27.1,54.1,3327
2010-07-17,0.5,23.2,27.8,36.6,3327
2010-07-18,1.1,23.5,30.8,1.1,3327
2010-07-19,1.2,23.4,31.9,0.7,3721
2010-07-20,1.1,23.6,32,0.5,3671
2010-07-21,1.4,24.1,32,2.2,3700
2010-07-22,1.6,24.4,32.4,0.2,3744
2010-07-23,1,23.1,30.9,21.3,3759
2010-07-24,1,22.9,30.9,6.7,3759
2010-07-25,1.4,22.8,31.1,5.6,3759
2010-07-26,1.4,23.1,31.1,1.9,3694
2010-07-27,1.5,22.9,31.9,3.2,3792
2010-07-28,0.9,22.5,28.5,14.4,3792
2010-07-29,1.1,23.4,30.9,0.7,3678
2010-07-30,1,24.1,30.9,0.1,3776
2010-07-31,1.6,24.3,31.7,0,3776
2010-08-01,1.5,25.2,33,0,3776
2010-08-02,1,24.2,31.8,4.4,4316
2010-08-03,1,23.5,29.9,1.8,4360
2010-08-04,0.8,24.5,32.9,1.9,4360
2010-08-05,1.2,25.2,33.4,2.6,4360
2010-08-06,0.9,25.5,32.2,9.1,4151
2010-08-07,1,24,31.7,8.4,4151
2010-08-08,1,23.1,32.3,1.9,4151
2010-08-09,1,22.8,33.3,1.3,4240
2010-08-10,1.2,24.5,29.5,43.3,4149
2010-08-11,2.1,24.3,30.4,32.4,4093
2010-08-12,1.7,22.9,30.4,3.1,4270
2010-08-13,1,23.6,29.8,38,4270
2010-08-14,0.7,24.8,30,14,4270
2010-08-15,1.6,24.7,30.1,38.2,4270
2010-08-16,0.7,22.8,29.2,20.6,4258
2010-08-17,0.8,22.3,30.7,16.9,4258
2010-08-18,1,23.2,31.8,14.4,4070
2010-08-19,1,24,32.4,0.4,3642
2010-08-20,0.9,24.2,33.3,0.2,3662
2010-08-21,1.2,24.3,33.9,0,3662
2010-08-22,1.1,24.3,33.6,0.2,3662
2010-08-23,1.4,24.4,32.1,6,3612
2010-08-24,0.8,23.6,31,6.8,3749
2010-08-25,1.4,22.4,28.1,19.3,4146
2010-08-26,1.2,22.6,29.4,12.7,4371
2010-08-27,1.1,23,29.9,6,4371
2010-08-28,1.8,24,28.8,18.3,4371
2010-08-29,1.1,23.5,29.3,29.3,4371
2010-08-30,0.6,23.5,30,4.7,4360
2010-08-31,0.7,23,29.9,17,4383
2010-09-01,1.8,23,31.7,14.8,4420
2010-09-02,2.7,23.5,29.8,26.7,4420
2010-09-03,0.9,23.4,31.7,3.4,4495
2010-09-04,1,23,32.1,0.1,4495
2010-09-05,1.1,23.2,32.3,10.3,4495
2010-09-06,1.2,22.9,26.9,21.5,4895
2010-09-07,3.1,21.6,27.1,18.6,5183
2010-09-08,1.4,19.9,25.2,0.2,5183
2010-09-09,0.8,19.3,26.3,12.4,4945
2010-09-10,1,21.5,29.8,17.4,4945
2010-09-11,0.6,22.6,26.5,42.6,4945
2010-09-12,1.4,20.3,27.3,34.2,4945
2010-09-13,1.1,19,28,0.2,5535
2010-09-14,0.7,18.8,28,0.2,5748
2010-09-15,1.1,17.6,28.5,0.5,6664
2010-09-16,1,16.9,29.5,0,6807
2010-09-17,1,17.3,30,0,6829
2010-09-18,1,18.1,30.1,0,6829
2010-09-19,0.8,18.2,26.4,6.1,6829
2010-09-20,0.6,20.2,27.3,7.4,7184
2010-09-21,1.4,20.6,29.7,30.1,7184
2010-09-22,2.1,16.1,23.2,9.7,7184
2010-09-23,1,13.6,23.3,0.2,7184
2010-09-24,1.2,12.1,23.9,0,7629
2010-09-25,1,12.3,23.7,0,7629
2010-09-26,0.9,13.1,22.6,0.1,7629
2010-09-27,1,13.1,23.7,0.6,11678
2010-09-28,1.6,10.6,21.7,0.5,12410
2010-09-29,0.7,9.2,19.9,0,12410
2010-09-30,1.1,9.4,22.3,0,12011
2010-10-01,1,9.2,23.2,0,12011
2010-10-02,1.1,12.3,22.6,12.9,12011
2010-10-03,1.8,15.3,23.5,6.7,12011
2010-10-04,1.9,13.1,19,2.3,10425
2010-10-05,1,11.4,20.5,0.1,10425
2010-10-06,1,10.4,22.8,0,10025
2010-10-07,0.8,11.3,24.1,0,9626
2010-10-08,1.1,14.1,22.7,3.9,9583
2010-10-09,0.9,14.4,23.7,0.7,9583
2010-10-10,1.1,13,24.6,0,9583
2010-10-11,0.8,12.5,22.5,0.1,9000
2010-10-12,0.9,13.3,22.9,0,8500
2010-10-13,1.1,12.7,20.8,0.3,7600
2010-10-14,1.1,11.4,20.9,0,6800
2010-10-15,1.9,9.1,19.1,0,6100
2010-10-16,1.2,8.2,21.9,0,6100
2010-10-17,0.9,9.2,22.2,0.1,6100
2010-10-18,0.9,8.9,21.7,0.1,5014
2010-10-19,0.9,9.4,22.7,0,4729
2010-10-20,0.9,10.5,21.9,0,4356
2010-10-21,1.7,10.8,21.3,1.1,3860
2010-10-22,0.9,10.8,22.1,0,3770
2010-10-23,0.7,9.9,20.8,0.3,3770
2010-10-24,0.7,13.5,20.5,8.1,3770
2010-10-25,2.2,7.8,17.9,0.3,3688
2010-10-26,1.8,0.8,9.8,0,3647
2010-10-27,0.9,-0.5,13.3,0,3653
2010-10-28,1.1,1.8,14.7,0,3698
2010-10-29,1.1,1.3,17.3,0,3614
2010-10-30,1.1,5.7,18.2,0,3614
2010-10-31,0.9,5.8,17.9,0.6,3614
2010-11-01,1.5,5.7,17.6,0,3594
2010-11-02,2.4,3.1,12.6,0,3412
2010-11-03,1.2,0.2,14,0,3362
2010-11-04,1,2.5,16.9,0,3222
2010-11-05,1.1,4.6,17.7,0,3184
2010-11-06,0.8,5.2,18.1,0,3184
2010-11-07,0.7,5.7,17.8,0.4,3184
2010-11-08,3.1,4.5,14,1.5,3111
2010-11-09,4.5,3.3,9.9,0.1,3154
2010-11-10,1.6,0.2,12.3,0,3079
2010-11-11,0.9,1.6,16.5,5.5,3142
2010-11-12,2.6,4.3,15.3,0.3,3190
2010-11-13,0.9,1.8,16.3,0,3190
2010-11-14,1.9,5.2,14.4,0,3190
2010-11-15,2.4,-0.9,8.8,0,3329
2010-11-16,1,-2.7,10.6,0,3435
2010-11-17,0.8,-0.1,12.6,0,3561
2010-11-18,0.7,-0.6,13.4,0,3820
2010-11-19,0.5,-0.9,12.2,0,3784
2010-11-20,0.8,0,16,0,3784
2010-11-21,0.8,2.4,17.3,0,3784
2010-11-22,2.1,2.1,14.3,1.3,3958
2010-11-23,0.8,-1.5,13.2,0,3927
2010-11-24,0.6,1.6,13.8,0,3845
2010-11-25,2,1.1,10.4,0,3610
2010-11-26,1.3,-2.7,7.6,0,3670
2010-11-27,1.5,-3.3,10.8,1.3,3670
2010-11-28,2,-3.1,5.8,0.2,3670
2010-11-29,1.1,-1.5,11.9,0.9,3657
2010-11-30,0.7,2.3,15.1,0.6,3546
2010-12-01,0.7,2.1,15.3,0,3411
2010-12-02,0.4,3.6,13.2,1.2,3459
2010-12-03,4.3,-0.4,10,0.6,3595
2010-12-04,0.9,-2.7,10.2,0,3595
2010-12-05,0.3,1.1,14.6,0,3595
2010-12-06,2.3,0.3,12.1,1,3582
2010-12-07,1.1,-2.7,6,0.3,3552
2010-12-08,0.7,-3.5,5.9,2.1,3552
2010-12-09,2.1,-3.8,5,0.1,3709
2010-12-10,0.5,-5,11.4,0.5,3679
2010-12-11,3.7,-4.7,9.8,0,3679
2010-12-12,0.9,-7.4,4.8,0.1,3679
2010-12-13,0.4,0.9,5.8,11.9,3633
2010-12-14,3.2,-5,5.7,0,3509
2010-12-15,3.1,-8.7,-2.4,0.1,3573
2010-12-16,1.8,-10,0,0,3616
2010-12-17,1.3,-4.9,4.7,0.8,3616
2010-12-18,0.6,-4.6,8.1,0,3616
2010-12-19,0.4,-1.6,11.3,0,3616
2010-12-20,0.7,-0.4,11.8,0,3616
2010-12-21,0.7,-1.9,11,0,3616
2010-12-22,1,-1.1,10.6,0,3408
2010-12-23,2.2,-3.7,7.9,0,3455
2010-12-24,3.5,-9.5,-2.7,0,3398
2010-12-25,3.5,-11,-3.1,0.4,3398
2010-12-26,2.6,-9.6,-1,0.9,3398
2010-12-27,1.1,-6.6,3.6,0.6,3576
2010-12-28,1.5,-3.4,4.7,3.8,3576
2010-12-29,1.6,-5.8,1.8,0.2,3576
2010-12-30,1.9,-6.4,1,4,3599
2010-12-31,1.9,-9.3,-2.3,1,3601
2011-01-01,0.8,-10.4,0.7,0.4,3601
2011-01-02,0.9,-9.5,3.6,0,3601
2011-01-03,0.6,-8.5,1.8,1.8,4252
2011-01-04,1.2,-6.8,2.2,0,4168
2011-01-05,2.8,-4,2.5,0,4376
2011-01-06,1.5,-7.3,-0.5,0.1,4609
2011-01-07,1.1,-10.8,0.6,0,4609
2011-01-08,1.2,-10,3.4,0,4609
2011-01-09,2.7,-8.2,1.4,0,4609
2011-01-10,1.1,-11.8,-0.8,0,4399
2011-01-11,1.2,-9.5,1.5,0.4,4423
2011-01-12,2.3,-9.2,-1.1,0,4495
2011-01-13,0.8,-11.6,1.4,0,4521
2011-01-14,0.9,-9.5,3.5,0.1,4521
2011-01-15,3.7,-13,-1.8,0.2,4521
2011-01-16,1.7,-14.8,-5.2,0.1,4521
2011-01-17,1.2,-13.2,-0.6,0,4832
2011-01-18,1.3,-10.6,0.5,0,4888
2011-01-19,1.8,-8.6,0.8,0,5083
2011-01-20,1.7,-9.3,-0.9,0,4551
2011-01-21,1.2,-9.6,0.8,0,4451
2011-01-22,1,-8.9,3,0,4451
2011-01-23,0.8,-6.6,2.7,1.4,4451
2011-01-24,2.3,-8.2,-1.4,0.3,5104
2011-01-25,1.3,-10.7,-0.3,0,5251
2011-01-26,2.2,-10.5,-0.4,0,5075
2011-01-27,1.6,-10.5,-0.5,0,5234
2011-01-28,1.6,-8.2,0.4,0,5234
2011-01-29,2.6,-10.5,-2,0.2,5234
2011-01-30,2.3,-11.8,-2.8,0.2,5234
2011-01-31,1.6,-11.9,1.3,0,5221
2011-02-01,1.2,-6.7,7.2,0,5134
2011-02-02,1.1,-3.9,8.9,0,5134
2011-02-03,0.9,-5.2,8.7,0,5134
2011-02-04,1.2,-3.7,8.8,0,5134
2011-02-05,0.7,-3.4,8.5,0,5134
2011-02-06,0.7,-3.3,8.6,0,5134
2011-02-07,0.8,-2.9,7.6,0,4859
2011-02-08,0.7,-0.7,6.3,1.3,4843
2011-02-09,2.2,-2.9,5.5,0,4815
2011-02-10,0.8,-4.6,3.1,0.3,4744
2011-02-11,1.9,-4.8,4,4.5,4727
2011-02-12,2.9,-7.2,0.7,1.9,4727
2011-02-13,0.9,-9.8,2.5,0,4727
2011-02-14,1,-5.5,0.9,3.4,4626
2011-02-15,1.1,-7.3,5.6,0,4651
2011-02-16,0.5,-6.3,7.7,1.5,4893
2011-02-17,0.8,-0.8,4.4,3.8,4893
2011-02-18,0.9,-3.9,8.1,0,4834
2011-02-19,1.1,-3.8,9.7,0,4834
2011-02-20,2.2,-2.8,11.9,0,4834
2011-02-21,0.8,-1.4,11.6,0,4841
2011-02-22,1,-2.6,12.4,0,4847
2011-02-23,1.1,-2,13.7,0,4699
2011-02-24,1.6,-0.4,16,0,4791
2011-02-25,2.2,-0.8,10.7,0,4770
2011-02-26,1.3,-2.7,12.8,0.1,4770
2011-02-27,3.1,4.1,8.6,43,4770
2011-02-28,3.4,3.4,7.2,3.8,4710
2011-03-01,2.1,-0.4,5.6,3.2,4710
2011-03-02,3,-3.3,4.3,0,4763
2011-03-03,2.1,-5.4,4.1,0,4590
2011-03-04,1.9,-4.6,6.8,0,4688
2011-03-05,1.3,-3.8,9,0,4688
2011-03-06,1.5,-0.6,10.8,0,4688
2011-03-07,3,-0.1,7.6,0,4750
2011-03-08,3.2,-2.9,9,0,4798
2011-03-09,3.5,-2,6.7,0,4544
2011-03-10,2.8,-3.5,8.6,0,4596
2011-03-11,2.3,-1.5,12,0,4629
2011-03-12,1.3,0.4,15.4,0,4629
2011-03-13,1.3,2.4,18.1,0,4629
2011-03-14,1.4,3.9,16.1,0,4693
2011-03-15,4.5,-0.6,8.9,0,4761
2011-03-16,3.6,-2.4,5.9,0,4743
2011-03-17,1.9,-3.5,8.4,0,4846
2011-03-18,1.5,-3.6,13.8,0,4824
2011-03-19,2.5,4.3,16.4,0,4824
2011-03-20,1.2,4.5,11.3,15.2,4824
2011-03-21,2,4.1,13.1,0.6,4824
2011-03-22,3.3,0.1,7.7,0.4,4824
2011-03-23,2.3,-3,8.7,0,4824
2011-03-24,2.4,-0.4,10.6,2.8,4776
2011-03-25,2.9,-0.5,7.1,0.3,4662
2011-03-26,1.8,-2.9,9.3,0,4662
2011-03-27,1.5,-2.5,11.9,0,4662
2011-03-28,1.7,1,11.9,0.4,4550
2011-03-29,1.5,-1.2,11.2,0,4530
2011-03-30,2.2,0.4,15.7,0,4486
2011-03-31,1.4,1.6,19,0,4341
2011-04-01,1.9,1.5,19.8,0,4341
2011-04-02,1.5,4.7,14,0.1,4341
2011-04-03,1.5,2.8,12.1,2.6,4341
2011-04-04,1.3,1.1,15.3,0,4265
2011-04-05,1.5,0.5,18.2,0,4073
2011-04-06,1.8,1.3,18.9,0.7,4057
2011-04-07,0.7,9.1,14.4,17.1,3783
2011-04-08,2,7.1,17.4,3.3,3783
2011-04-09,2.1,3.4,18.1,0,3783
2011-04-10,1.4,4.5,19.9,0.5,3783
2011-04-11,2.4,5.1,15.4,2.7,3905
2011-04-12,2.2,1.4,18.3,0,3905
2011-04-13,2.1,3.6,20.2,0,3961
2011-04-14,1.6,4.3,21.2,0,3808
2011-04-15,3.2,9.8,23.5,0.1,3708
2011-04-16,2.2,6.1,18.8,0.1,3708
2011-04-17,1.8,4,18.7,0,3708
2011-04-18,2.3,5.1,11.8,2.7,3654
2011-04-19,2.3,4.2,15.1,0.7,3329
2011-04-20,2,2.8,18.5,0,3126
2011-04-21,1.4,5.4,20.3,0,2406
2011-04-22,1.7,8.7,13.9,26.8,2360
2011-04-23,3.6,6.3,15.8,0,2360
2011-04-24,3.5,5,16,0.4,2360
2011-04-25,3.4,6.3,18.8,0.3,2304
2011-04-26,1.4,9.8,15.3,11.9,2225
2011-04-27,1.7,8.2,16.8,2.4,2243
2011-04-28,1.9,5.9,15.4,0.7,2117
2011-04-29,1.3,4.1,19.9,0.6,1978
2011-04-30,1.7,13.3,21.3,37.3,1978
2011-05-01,3.4,11.2,18.7,2.3,1978
2011-05-02,1.5,9.5,21.9,0,1889
2011-05-03,2.2,10.8,22.5,0,1769
2011-05-04,1.1,7.4,21.3,0,1735
2011-05-05,1.7,8.5,21.8,0,1735
2011-05-06,1.3,9.5,19.3,1.1,1650
2011-05-07,2.5,13.7,24.2,1.2,1650
2011-05-08,1.5,12.3,25.5,0,1650
2011-05-09,2,14.1,24.6,5.7,1594
2011-05-10,2,15.2,22.6,41.3,1594
2011-05-11,2.9,14,18.1,46.4,1611
2011-05-12,1.7,11.6,19.3,2.9,1593
2011-05-13,3.6,10,22.2,0,1585
2011-05-14,3.2,11.1,24.3,0,1585
2011-05-15,2.9,9.3,25.6,0,1585
2011-05-16,2.5,11.2,22.5,0,1590
2011-05-17,1.7,8.6,23.5,0,1349
2011-05-18,1.4,10.4,26.1,0,1313
2011-05-19,1.6,15,25.8,0.1,1217
2011-05-20,1.2,16.4,24.5,3.3,1220
2011-05-21,1,14.3,22.1,4.4,1220
2011-05-22,1.1,13,22.1,1.8,1220
2011-05-23,1,12,20.4,3.5,1282
2011-05-24,1.1,9.8,26.1,0,1272
2011-05-25,1.1,13.2,24.8,0,1263
2011-05-26,1.6,14.3,19,6.2,1150
2011-05-27,1.7,14,20.1,0.7,1142
2011-05-28,1.1,13.5,24.9,0,1142
2011-05-29,1.7,13.9,26.1,0,1142
2011-05-30,1.6,13.6,25.2,0,1192
2011-05-31,1.5,15.3,20,2,1196
2011-06-01,1.2,14.5,22.2,11.6,1169
2011-06-02,1.2,14.7,24.3,0,1212
2011-06-03,1.6,14.2,26.1,0,1212
2011-06-04,2.5,16.5,26,0.1,1212
2011-06-05,1.4,16.1,28.3,0,1212
2011-06-06,1.3,14.6,27.8,0,1212
2011-06-07,1.4,15.1,28.3,0,1250
2011-06-08,1.4,15.7,28.8,0.4,1236
2011-06-09,1.7,17.3,25.6,0.3,1227
2011-06-10,0.8,17.7,25.1,2.8,1222
2011-06-11,1.1,17,29.6,1.4,1222
2011-06-12,1.5,17.6,28.3,0.8,1222
2011-06-13,1.7,16.8,25.8,0.1,1211
2011-06-14,1.2,15.8,27.4,0,1211
2011-06-15,1.3,17,27.2,0.1,1216
2011-06-16,1.7,17.2,28.5,0,1292
2011-06-17,1.2,16.6,28.1,0,1287
2011-06-18,1.2,18.2,27.3,1.5,1287
2011-06-19,1.3,17.1,29.5,0,1287
2011-06-20,1.8,17.5,29.9,0.8,1201
2011-06-21,2.1,18.5,31.5,0.1,1167
2011-06-22,1.3,20.9,27.3,22.1,1178
2011-06-23,2.6,22.5,28.4,21.6,1178
2011-06-24,2.4,19.8,25.5,52.1,1179
2011-06-25,2.6,18.4,21.8,54.1,1179
2011-06-26,4.6,18.3,23.2,48.3,1179
2011-06-27,2.1,18.6,25.2,3.4,1200
2011-06-28,1.8,18.4,29.6,4.7,1199
2011-06-29,1.4,21.8,28.8,34,1189
2011-06-30,1.3,21.9,28.2,19.4,1318
2011-07-01,1.4,21.9,29.6,0.8,1385
2011-07-02,1.2,22.2,30.7,2.1,1385
2011-07-03,1.4,22.1,26.5,49.1,1385
2011-07-04,2.5,20.5,29,9,1465
2011-07-05,1.3,19,30.4,0,1492
2011-07-06,0.9,19.5,27,4.2,1614
2011-07-07,1,20.9,25.7,21.8,1653
2011-07-08,1.6,22.5,27.3,22.6,1718
2011-07-09,1.1,21.2,26.1,84.4,1718
2011-07-10,0.8,21,26.6,57.2,1718
2011-07-11,1,20.7,27,20.6,1734
2011-07-12,0.6,21.8,26.8,30.7,1786
2011-07-13,0.7,22.8,27.2,8.9,1923
2011-07-14,0.9,23.3,28.6,20.4,2158
2011-07-15,1.1,23.2,30.1,6.8,2198
